Date,HT,AT,HS,AS
2010-02-19,Everton,Huachipato,0,1
2010-02-20,Unión Española,Universidad Catolica,2,1
2010-02-20,Universidad de Concepcion,San Luis,1,1
2010-02-20,Audax Italiano,Colo Colo,2,3
2010-02-21,Cobresal,Wanderers,1,0
2010-02-21,Palestino,Cobreloa,1,0
2010-02-21,San Felipe,O'Higgins,2,0
2010-02-21,Ñublense,La Serena,3,1
2010-02-21,Universidad de Chile,Santiago Morning,2,1
2010-03-13,San Luis,Ñublense,3,3
2010-03-14,Cobreloa,San Felipe,0,0
2010-03-14,Santiago Morning,Unión Española,1,1
2010-03-14,Wanderers,Palestino,2,0
2010-03-14,La Serena,Audax Italiano,1,3
2010-04-06,Huachipato,Cobresal,4,3
2010-07-14,Colo Colo,Everton,2,0
2010-07-14,O'Higgins,Universidad de Chile,3,3
2010-07-21,Universidad Catolica,Universidad de Concepcion,1,0
2010-03-19,Colo Colo,La Serena,6,1
2010-03-20,O'Higgins,Wanderers,2,2
2010-03-20,Palestino,Universidad de Chile,0,1
2010-03-21,Everton,Santiago Morning,1,1
2010-03-21,Cobresal,San Luis,4,2
2010-03-21,Audax Italiano,Universidad Catolica,1,3
2010-04-14,Universidad de Concepcion,Unión Española,3,3
2010-05-05,Ñublense,Cobreloa,1,1
2010-05-12,San Felipe,Huachipato,1,1
2010-03-26,Universidad de Chile,San Felipe,4,2
2010-03-27,Cobreloa,O'Higgins,1,1
2010-03-27,Wanderers,Universidad Catolica,2,4
2010-03-27,Unión Española,Ñublense,1,3
2010-03-28,San Luis,Colo Colo,0,2
2010-03-28,Cobresal,Palestino,2,1
2010-03-28,La Serena,Everton,2,1
2010-03-28,Santiago Morning,Universidad de Concepcion,2,0
2010-07-10,Huachipato,Audax Italiano,1,2
2010-04-01,La Serena,Huachipato,0,3
2010-04-03,Universidad Catolica,Colo Colo,0,0
2010-04-03,Universidad de Concepcion,Cobresal,1,1
2010-04-03,Audax Italiano,San Luis,2,2
2010-04-03,Ñublense,Santiago Morning,1,1
2010-04-03,Palestino,O'Higgins,1,0
2010-04-03,Universidad de Chile,Unión Española,4,3
2010-04-04,San Felipe,Wanderers,1,1
2010-04-04,Everton,Cobreloa,2,1
2010-04-09,Universidad Catolica,Ñublense,4,2
2010-04-10,O'Higgins,Santiago Morning,1,0
2010-04-10,Unión Española,La Serena,1,1
2010-04-11,San Luis,San Felipe,0,1
2010-04-11,Wanderers,Everton,2,0
2010-04-11,Cobresal,Audax Italiano,3,1
